,tablerownames,ticker,company,constituentStart,constituentEnd,industryCode,industry
393,397,MDT.US Equity,Medtronic PLC,10/23/1986,null,351010,Health Care Equipment & Supplies
394,398,MEDI.US Equity,MedImmune Inc.,6/15/2000,5/30/2007,352010,Biotechnology
395,399,MEE.US Equity,Massey Energy Co.,6/20/2008,5/31/2011,101020,"Oil, Gas & Consumable Fuels"
396,400,MEL.US Equity,Mellon Financial Corp,7/1/1976,6/28/2007,402030,Capital Markets
397,401,MER.US Equity,Merrill Lynch & Co,4/8/1982,12/30/2008,402030,Capital Markets
398,402,MET.US Equity,MetLife Inc.,12/8/2000,null,403010,Insurance
399,403,MFE.US Equity,McAfee Inc.,12/22/2008,2/27/2011,451030,Software
400,404,MHK.US Equity,Mohawk Industries Inc,12/20/2013,null,252010,Household Durables
401,405,MHS.US Equity,Medco Health Solution Inc,8/19/2003,3/30/2012,351020,Health Care Providers & Services
402,406,MI.US Equity,Marshall & Ilsley Corp,2/8/2002,7/4/2011,401010,Commercial Banks
403,407,MJN.US Equity,Mead Johnson Nutrition Co,12/18/2009,6/14/2017,302020,Food Products
404,408,MKC.US Equity,McCormick & Company Inc,3/20/2003,null,302020,Food Products
405,409,MLM.US Equity,Martin Marietta Materials Inc,7/1/2014,null,151020,Construction Materials
406,410,MMC.US Equity,Marsh & McLennan Companies Inc,8/6/1987,null,403010,Insurance
407,411,MMM.US Equity,3M Company,1/1/1970,null,201050,Industrial Conglomerates
408,412,MNK.US Equity,Mallinckrodt plc,8/18/2014,7/24/2017,352020,Pharmaceuticals
409,413,MNST.US Equity,Monster Beverage Corp,6/28/2012,null,302010,Beverages
410,414,MOLX.US Equity,Molex Inc.,11/30/1999,12/6/2013,452030,"Electronic Equipment, Instruments & Components"
411,415,MON.US Equity,Monsanto Co.,8/13/2002,6/5/2018,151010,Chemicals
412,416,MOS.US Equity,Mosaic Co,9/23/2011,null,151010,Chemicals
413,417,MPC.US Equity,Marathon Petroleum Corp,6/30/2011,null,101020,"Oil, Gas & Consumable Fuels"
414,418,MRK.US Equity,"Merck & Co., Inc",1/1/1970,null,352020,Pharmaceuticals
415,419,MRO.US Equity,Marathon Oil Corp.,5/6/1991,null,101020,"Oil, Gas & Consumable Fuels"
416,420,MS.US Equity,Morgan Stanley,9/21/1995,null,402030,Capital Markets
417,421,MSFT.US Equity,Microsoft Corp.,6/6/1994,null,451030,Software
418,422,MSI.US Equity,"Motorola Solutions, Inc",1/1/1970,null,452010,Communications Equipment
419,423,MTB.US Equity,M&T Bank Corp.,2/26/2004,null,401010,Commercial Banks
420,424,MTD.US Equity,Mettler-Toledo Int'l Inc,9/2/2016,null,352030,Life Sciences Tools & Services
421,425,MTG.US Equity,MGIC Investment Corp,7/18/1996,10/29/2008,401020,Thrifts & Mortgage Finance
422,426,MTW.US Equity,Manitowoc Inc,11/15/2007,8/30/2009,201060,Machinery
423,427,MU.US Equity,Micron Technology Inc,9/26/1994,null,453010,Semiconductors & Semiconductor Equipment
424,428,MUR.US Equity,Murphy Oil Corp,8/12/2005,7/24/2017,101020,"Oil, Gas & Consumable Fuels"
425,429,MWW.US Equity,Monster Worldwide Inc.,6/1/2001,12/15/2011,451010,Internet Software & Services
426,430,MXIM.US Equity,Maxim Integrated Products Inc,5/9/2000,9/25/2007,453010,Semiconductors & Semiconductor Equipment
427,431,MYL.US Equity,Mylan NV,4/22/2004,null,352020,Pharmaceuticals
428,432,NAVI.US Equity,Navient Corp,5/1/2014,6/3/2018,402020,Consumer Finance
429,433,NBL.US Equity,Noble Energy Inc.,10/5/2007,null,101020,"Oil, Gas & Consumable Fuels"
430,434,NBR.US Equity,Nabors Industries Ltd,10/17/2000,3/19/2015,101010,Energy Equipment & Services
431,435,NCC.US Equity,National City Corp.,9/26/1994,12/30/2008,401010,Commercial Banks
432,436,NCR.US Equity,NCR Corp.,1/3/2000,9/27/2007,452020,Computers & Peripherals
433,437,NDAQ.US Equity,Nasdaq Inc,10/21/2008,null,402030,Capital Markets
434,438,NE.US Equity,Noble Corp plc,1/12/2001,3/25/2009,101010,Energy Equipment & Services
435,439,NE.US Equity,Noble Corp plc,1/14/2011,7/16/2015,101010,Energy Equipment & Services
436,440,NEE.US Equity,NextEra Energy Inc,7/1/1976,null,551030,Multi-Utilities
437,441,NEM.US Equity,Newmont Corporation,1/1/1970,null,151040,Metals & Mining
438,442,NFLX.US Equity,Netflix Inc.,12/17/2010,null,502020,Entertainment
439,443,NFX.US Equity,Newfield Exploration Co.,12/17/2010,2/13/2019,101020,"Oil, Gas & Consumable Fuels"
440,444,NI.US Equity,NiSource Inc.,11/1/2000,null,551030,Multi-Utilities
441,445,NKE.US Equity,Nike Inc.,11/3/1988,null,252030,"Textiles, Apparel & Luxury Goods"
442,446,NLOK.US Equity,NortonLifeLock Inc,3/28/2003,null,451030,Software
443,447,NLSN.US Equity,Nielsen Holdings PLC,7/8/2013,null,202020,Professional Services
444,448,NOC.US Equity,Northrop Grumman Corp.,6/13/1985,null,201010,Aerospace & Defense
445,449,NOV.US Equity,National Oilwell Varco Inc.,3/11/2005,null,101010,Energy Equipment & Services
446,450,NOVL.US Equity,Novell Inc,10/31/1991,4/26/2011,451030,Software
447,451,NRG.US Equity,NRG Energy Inc,1/27/2010,null,551050,Independent Power Producers & Energy Traders
448,452,NSC.US Equity,Norfolk Southern Corp.,6/3/1982,null,203040,Road & Rail
449,453,NTAP.US Equity,NetApp Inc,6/24/1999,null,452020,Computers & Peripherals
450,454,NTRS.US Equity,Northern Trust Corp.,1/29/1998,null,402030,Capital Markets
451,455,NUE.US Equity,Nucor Corp.,4/18/1985,null,151040,Metals & Mining
452,456,NVDA.US Equity,Nvidia Corp.,11/29/2001,null,453010,Semiconductors & Semiconductor Equipment
453,457,NWL.US Equity,Newell Brands Inc,4/27/1989,null,252010,Household Durables
454,458,NWS.US Equity,News Corp Class B,9/18/2015,null,502010,Media
455,459,NWSA.US Equity,News Corp Class A,6/28/2013,null,502010,Media
456,460,NYT.US Equity,New York Times Co,11/23/1984,12/16/2010,254010,Media
457,461,NYX.US Equity,NYSE Euronext Inc,10/24/2007,11/11/2013,402010,Diversified Financial Services
458,462,O.US Equity,Realty Income Corp,4/6/2015,null,601010,Equity Real Estate Investment Trusts (REITs)
459,463,ODP.US Equity,Office Depot Inc.,6/23/1999,12/16/2010,255040,Specialty Retail
460,464,OI.US Equity,Owens-Illinois Inc.,12/31/2008,11/30/2016,151030,Containers & Packaging
461,465,OKE.US Equity,ONEOK Inc,3/12/2010,null,101020,"Oil, Gas & Consumable Fuels"
462,466,OMC.US Equity,Omnicom Group Inc,12/23/1997,null,502010,Media
463,467,OMX.US Equity,OfficeMax Inc (Old),4/23/1970,6/19/2008,255040,Specialty Retail
464,468,ORCL.US Equity,Oracle Corp.,8/3/1989,null,451030,Software
465,469,ORLY.US Equity,O'Reilly Automotive Inc,3/26/2009,null,255040,Specialty Retail
466,470,OXY.US Equity,Occidental Petroleum Corp,12/9/1982,null,101020,"Oil, Gas & Consumable Fuels"
467,471,PAYX.US Equity,Paychex Inc.,9/30/1998,null,451020,IT Services
468,472,PBCT.US Equity,People's United Financial Inc,11/12/2008,null,401020,Thrifts & Mortgage Finance
469,473,PBG.US Equity,Pepsi Bottling Group Inc.,5/11/2001,2/25/2010,302010,Beverages
